2025-12-30 14:23:49.568 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2025-12-30 14:23:49.577 [main] INFO  com.lchjy.NingboApplication-Started NingboApplication in 2.253 seconds (process running for 2.76)
2025-12-30 14:23:54.759 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-30 14:23:54.759 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-12-30 14:23:54.760 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 1 ms
2025-12-30 14:23:55.592 [http-nio-8080-exec-4] WARN  com.lchjy.config.GlobalExceptionHandler-检测到 favicon.ico 请求缺失，已忽略堆栈信息打印。
2025-12-30 14:23:55.601 [http-nio-8080-exec-3] INFO  com.lchjy.controller.FoodController-查询美食列表: keyword=, page=1, limit=8
2025-12-30 14:23:55.696 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2025-12-30 14:23:56.012 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@1a550111
2025-12-30 14:23:56.014 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2025-12-30 14:24:51.355 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown initiated...
2025-12-30 14:24:51.369 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown completed.
